Year,NMFS Name,Pounds,Metric Tons,Dollars,Confidentiality,Collection,Scientific Name,Tsn
2018,"CRAB, SOUTHERN TANNER","4,023,199",1825.00,15541305.00,Public,Commercial,Chionoecetes bairdi,98429
2019,"CRAB, KING **","10,816,176",4906.00,67553895.00,Public,Commercial,Paralithodes,97934
2019,"CRAB, SNOW","27,260,061",12365.00,82266758.00,Public,Commercial,Chionoecetes opilio,98428
2019,"CRAB, SOUTHERN TANNER","3,194,274",1449.00,11320543.00,Public,Commercial,Chionoecetes bairdi,98429
2020,"CRAB, KING **","8,509,109",3860.00,72436633.00,Public,Commercial,Paralithodes,97934
2020,"CRAB, SNOW","33,606,698",15244.00,132287850.00,Public,Commercial,Chionoecetes opilio,98428
2020,"CRAB, SOUTHERN TANNER","2,316,010",1051.00,8998281.00,Public,Commercial,Chionoecetes bairdi,98429
2021,"CRAB, KING **","6,029,355",2735.00,75015671.00,Public,Commercial,Paralithodes,97934
2021,"CRAB, SNOW","44,135,849",20020.00,219165813.00,Public,Commercial,Chionoecetes opilio,98428
2021,"CRAB, SOUTHERN TANNER","2,252,395",1022.00,11163481.00,Public,Commercial,Chionoecetes bairdi,98429
2022,"CRAB, KING **","4,526,178",2053.00,46627607.00,Public,Commercial,Paralithodes,97934
2022,"CRAB, SNOW","5,476,142",2484.00,39184752.00,Public,Commercial,Chionoecetes opilio,98428
2022,"CRAB, SOUTHERN TANNER","4,803,887",2179.00,34691680.00,Public,Commercial,Chionoecetes bairdi,98429
2023,"CRAB, KING **","9,102,922",4129.00,95733985.00,Public,Commercial,Paralithodes,97934
2023,"CRAB, SOUTHERN TANNER","10,544,669",4783.00,34832588.00,Public,Commercial,Chionoecetes bairdi,98429
2024,"CRAB, KING **","8,134,023",3690.00,109090007.00,Public,Commercial,Paralithodes,97934
2024,"CRAB, SOUTHERN TANNER","7,199,640",3266.00,26029381.00,Public,Commercial,Chionoecetes bairdi,98429
